CWE_ID,Name,Abstraction,Structure,Status,Mapping_Status,Description
106,Struts: Plug-in Framework not in Use,Variant,Simple,Draft,Allowed,"When an application does not use an input validation framework such as the Struts Validator, there is a greater risk of introducing weaknesses related to insufficient input validation."
1067,Excessive Execution of Sequential Searches of Data Resource,Base,Simple,Incomplete,Allowed,"The product contains a data query against an SQL table or view
					that is configured in a way that does not utilize an index and may cause
					sequential searches to be performed."
1069,Empty Exception Block,Variant,Simple,Incomplete,Allowed,"An invokable code block contains an exception handling block that does not contain any code, i.e. is empty."
107,Struts: Unused Validation Form,Variant,Simple,Draft,Allowed,An unused validation form indicates that validation logic is not up-to-date.
1071,Empty Code Block,Base,Simple,Incomplete,Allowed,"The source code contains a block that does not contain any code, i.e., the block is empty."
1075,Unconditional Control Flow Transfer outside of Switch Block,Base,Simple,Incomplete,Allowed,"The product performs unconditional control transfer (such as a
					""goto"") in code outside of a branching structure such as a switch
					block."
1077,Floating Point Comparison with Incorrect Operator,Variant,Simple,Incomplete,Allowed,"The code performs a comparison such as an
        equality test between two float (floating point) values, but
        it uses comparison operators that do not account for the
        possibility of loss of precision."
1079,Parent Class without Virtual Destructor Method,Base,Simple,Incomplete,Allowed,"A parent class contains one or more child classes, but the parent class does not have a virtual destructor method."
108,Struts: Unvalidated Action Form,Variant,Simple,Incomplete,Allowed,Every Action Form must have a corresponding validation form.
1087,Class with Virtual Method without a Virtual Destructor,Base,Simple,Incomplete,Allowed,"A class contains a virtual method, but the method does not have an associated virtual destructor."
1088,Synchronous Access of Remote Resource without Timeout,Base,Simple,Incomplete,Allowed,"The code has a synchronous call to a remote resource, but there is no timeout for the call, or the timeout is set to infinite."
1089,Large Data Table with Excessive Number of Indices,Base,Simple,Incomplete,Allowed,"The product uses a large data table that contains an excessively large number of
					indices."
109,Struts: Validator Turned Off,Variant,Simple,Draft,Allowed,"Automatic filtering via a Struts bean has been turned off, which disables the Struts Validator and custom validation logic. This exposes the application to other weaknesses related to insufficient input validation."
1091,Use of Object without Invoking Destructor Method,Base,Simple,Incomplete,Allowed,"The product contains a method that accesses an object but does not later invoke
					the element's associated finalize/destructor method."
1096,Singleton Class Instance Creation without Proper Locking or Synchronization,Variant,Simple,Incomplete,Allowed,The product implements a Singleton design pattern but does not use appropriate locking or other synchronization mechanism to ensure that the singleton class is only instantiated once.
1098,Data Element containing Pointer Item without Proper Copy Control Element,Base,Simple,Incomplete,Allowed,The code contains a data element with a pointer that does not have an associated copy or constructor method.
11,ASP.NET Misconfiguration: Creating Debug Binary,Variant,Simple,Draft,Allowed,Debugging messages help attackers learn about the system and plan a form of attack.
110,Struts: Validator Without Form Field,Variant,Simple,Draft,Allowed,Validation fields that do not appear in forms they are associated with indicate that the validation logic is out of date.
1100,Insufficient Isolation of System-Dependent Functions,Base,Simple,Incomplete,Allowed,"The product or code does not isolate system-dependent
					functionality into separate standalone modules."
1102,Reliance on Machine-Dependent Data Representation,Base,Simple,Incomplete,Allowed,"The code uses a data representation that relies on low-level
					data representation or constructs that may vary across different processors,
					physical machines, OSes, or other physical components."
1104,Use of Unmaintained Third Party Components,Base,Simple,Incomplete,Allowed,"The product relies on third-party components that are not
					actively supported or maintained by the original developer or a trusted proxy
					for the original developer."
1108,Excessive Reliance on Global Variables,Base,Simple,Incomplete,Allowed,"The code is structured in a way that relies too much on using
					or setting global variables throughout various points in the code, instead of
					preserving the associated information in a narrower, more local
					context."
111,Direct Use of Unsafe JNI,Variant,Simple,Draft,Allowed,"When a Java application uses the Java Native Interface (JNI) to call code written in another programming language, it can expose the application to weaknesses in that code, even if those weaknesses cannot occur in Java."
1116,Inaccurate Source Code Comments,Base,Simple,Incomplete,Allowed,"The source code contains comments that do not accurately
					describe or explain aspects of the portion of the code with which the comment is
					associated."
112,Missing XML Validation,Base,Simple,Draft,Allowed,The product accepts XML from an untrusted source but does not validate the XML against the proper schema.
1123,Excessive Use of Self-Modifying Code,Base,Simple,Incomplete,Allowed,The product uses too much self-modifying code.
1126,Declaration of Variable with Unnecessarily Wide Scope,Base,Simple,Incomplete,Allowed,"The source code declares a variable in one scope, but the
					variable is only used within a narrower scope."
1127,Compilation with Insufficient Warnings or Errors,Base,Simple,Incomplete,Allowed,"The code is compiled without sufficient warnings enabled, which
					may prevent the detection of subtle bugs or quality
					issues."
113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),Variant,Simple,Incomplete,Allowed,"The product receives data from an HTTP agent/component (e.g., web server, proxy, browser, etc.), but it does not neutralize or incorrectly neutralizes CR and LF characters before the data is included in outgoing HTTP headers."
115,Misinterpretation of Input,Base,Simple,Incomplete,Allowed,"The product misinterprets an input, whether from an attacker or another product, in a security-relevant fashion."
117,Improper Output Neutralization for Logs,Base,Simple,Draft,Allowed,"The product constructs a log message from external input, but it does not neutralize or incorrectly neutralizes special elements when the message is written to a log file."
1173,Improper Use of Validation Framework,Base,Simple,Draft,Allowed,"The product does not use, or incorrectly uses, an input validation framework that is provided by the source language or an independent library."
1174,ASP.NET Misconfiguration: Improper Model Validation,Variant,Simple,Draft,Allowed,"The ASP.NET application does not use, or incorrectly uses, the model validation framework."
1188,Initialization of a Resource with an Insecure Default,Base,Simple,Incomplete,Allowed,"The product initializes or sets a resource with a default that is intended to be changed by the product's installer, administrator, or maintainer, but the default is not secure."
1189,Improper Isolation of Shared Resources on System-on-a-Chip (SoC),Base,Simple,Stable,Allowed,The System-On-a-Chip (SoC) does not properly isolate shared resources between trusted and untrusted agents.
1190,DMA Device Enabled Too Early in Boot Phase,Base,Simple,Draft,Allowed,"The product enables a Direct Memory Access (DMA) capable device before the security configuration settings are established, which allows an attacker to extract data from or gain privileges on the product."
1191,On-Chip Debug and Test Interface With Improper Access Control,Base,Simple,Stable,Allowed,The chip does not implement or does not correctly perform access control to check whether users are authorized to access internal registers and test modes through the physical debug/test interface.
1192,Improper Identifier for IP Block used in System-On-Chip (SOC),Base,Simple,Draft,Allowed,"The System-on-Chip (SoC) does not have unique, immutable identifiers for each of its components."
1193,Power-On of Untrusted Execution Core Before Enabling Fabric Access Control,Base,Simple,Draft,Allowed,The product enables components that contain untrusted firmware before memory and fabric access controls have been enabled.
12,ASP.NET Misconfiguration: Missing Custom Error Page,Variant,Simple,Draft,Allowed,An ASP .NET application must enable custom error pages in order to prevent attackers from mining information from the framework's built-in responses.
1204,Generation of Weak Initialization Vector (IV),Base,Simple,Incomplete,Allowed,"The product uses a cryptographic primitive that uses an Initialization
			Vector (IV), but the product does not generate IVs that are
			sufficiently unpredictable or unique according to the expected
			cryptographic requirements for that primitive."
1209,Failure to Disable Reserved Bits,Base,Simple,Incomplete,Allowed,"The reserved bits in a hardware design are not disabled prior to production. Typically, reserved bits are used for future capabilities and should not support any functional logic in the design.   However, designers might covertly use these bits to debug or further develop new capabilities in production hardware. Adversaries with access to these bits will write to them in hopes of compromising hardware state."
121,Stack-based Buffer Overflow,Variant,Simple,Draft,Allowed,"A stack-based buffer overflow condition is a condition where the buffer being overwritten is allocated on the stack (i.e., is a local variable or, rarely, a parameter to a function)."
122,Heap-based Buffer Overflow,Variant,Simple,Draft,Allowed,"A heap overflow condition is a buffer overflow, where the buffer that can be overwritten is allocated in the heap portion of memory, generally meaning that the buffer was allocated using a routine such as malloc()."
1220,Insufficient Granularity of Access Control,Base,Simple,Incomplete,Allowed,"The product implements access controls via a policy or other feature with the intention to disable or restrict accesses (reads and/or writes) to assets in a system from untrusted agents. However, implemented access controls lack required granularity, which renders the control policy too broad because it allows accesses from unauthorized agents to the security-sensitive assets."
1221,Incorrect Register Defaults or Module Parameters,Base,Simple,Incomplete,Allowed,Hardware description language code incorrectly defines register defaults or hardware Intellectual Property (IP) parameters to insecure values.
1222,Insufficient Granularity of Address Regions Protected by Register Locks,Variant,Simple,Incomplete,Allowed,The product defines a large address region protected from modification by the same register lock control bit. This results in a conflict between the functional requirement that some addresses need to be writable by software during operation and the security requirement that the system configuration lock bit must be set during the boot process.
1223,Race Condition for Write-Once Attributes,Base,Simple,Incomplete,Allowed,"A write-once register in hardware design is programmable by an untrusted software component earlier than the trusted software component, resulting in a race condition issue."
1224,Improper Restriction of Write-Once Bit Fields,Base,Simple,Incomplete,Allowed,"The hardware design control register ""sticky bits"" or write-once bit fields are improperly implemented, such that they can be reprogrammed by software."
123,Write-what-where Condition,Base,Simple,Draft,Allowed,"Any condition where the attacker has the ability to write an arbitrary value to an arbitrary location, often as the result of a buffer overflow."
1230,Exposure of Sensitive Information Through Metadata,Base,Simple,Incomplete,Allowed,"The product prevents direct access to a resource containing sensitive information, but it does not sufficiently limit access to metadata that is derived from the original, sensitive information."
1231,Improper Prevention of Lock Bit Modification,Base,Simple,Stable,Allowed,"The product uses a trusted lock bit for restricting access to registers, address regions, or other resources, but the product does not prevent the value of the lock bit from being modified after it has been set."
1232,Improper Lock Behavior After Power State Transition,Base,Simple,Incomplete,Allowed,"Register lock bit protection disables changes to system configuration once the bit is set. Some of the protected registers or lock bits become programmable after power state transitions (e.g., Entry and wake from low power sleep modes) causing the system configuration to be changeable."
1233,Security-Sensitive Hardware Controls with Missing Lock Bit Protection,Base,Simple,Stable,Allowed,"The product uses a register lock bit protection mechanism, but it does not ensure that the lock bit prevents modification of system registers or controls that perform changes to important hardware system configuration."
1234,Hardware Internal or Debug Modes Allow Override of Locks,Base,Simple,Incomplete,Allowed,System configuration protection may be bypassed during debug mode.
1235,Incorrect Use of Autoboxing and Unboxing for Performance Critical Operations,Base,Simple,Incomplete,Allowed,"The code uses boxed primitives, which may introduce inefficiencies into performance-critical operations."
1236,Improper Neutralization of Formula Elements in a CSV File,Base,Simple,Incomplete,Allowed,"The product saves user-provided information into a Comma-Separated Value (CSV) file, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as a command when the file is opened by a spreadsheet product."
1239,Improper Zeroization of Hardware Register,Variant,Simple,Draft,Allowed,The hardware product does not properly clear sensitive information from built-in registers when the user of the hardware block changes.
124,Buffer Underwrite ('Buffer Underflow'),Base,Simple,Incomplete,Allowed,The product writes to a buffer using an index or pointer that references a memory location prior to the beginning of the buffer.
1240,Use of a Cryptographic Primitive with a Risky Implementation,Base,Simple,Draft,Allowed,"To fulfill the need for a cryptographic primitive, the product implements a cryptographic algorithm using a non-standard, unproven, or disallowed/non-compliant cryptographic implementation."
1241,Use of Predictable Algorithm in Random Number Generator,Base,Simple,Draft,Allowed,The device uses an algorithm that is predictable and generates a pseudo-random number.
1242,Inclusion of Undocumented Features or Chicken Bits,Base,Simple,Incomplete,Allowed,The device includes chicken bits or undocumented features that can create entry points for unauthorized actors.
1243,Sensitive Non-Volatile Information Not Protected During Debug,Base,Simple,Incomplete,Allowed,Access to security-sensitive information stored in fuses is not limited during debug.
1244,Internal Asset Exposed to Unsafe Debug Access Level or State,Base,Simple,Stable,Allowed,"The product uses physical debug or test
        interfaces with support for multiple access levels, but it
        assigns the wrong debug access level to an internal asset,
        providing unintended access to the asset from untrusted debug
        agents."
1245,Improper Finite State Machines (FSMs) in Hardware Logic,Base,Simple,Incomplete,Allowed,"Faulty finite state machines (FSMs) in the hardware logic allow an attacker to put the system in an undefined state, to cause a denial of service (DoS) or gain privileges on the victim's system."
1246,Improper Write Handling in Limited-write Non-Volatile Memories,Base,Simple,Incomplete,Allowed,The product does not implement or incorrectly implements wear leveling operations in limited-write non-volatile memories.
1247,Improper Protection Against Voltage and Clock Glitches,Base,Simple,Stable,Allowed,The device does not contain or contains incorrectly implemented circuitry or sensors to detect and mitigate voltage and clock glitches and protect sensitive information or software contained on the device.
1248,Semiconductor Defects in Hardware Logic with Security-Sensitive Implications,Base,Simple,Incomplete,Allowed,The security-sensitive hardware module contains semiconductor defects.
1249,Application-Level Admin Tool with Inconsistent View of Underlying Operating System,Base,Simple,Incomplete,Allowed,"The product provides an application for administrators to manage parts of the underlying operating system, but the application does not accurately identify all of the relevant entities or resources that exist in the OS; that is, the application's model of the OS's state is inconsistent with the OS's actual state."
125,Out-of-bounds Read,Base,Simple,Draft,Allowed,"The product reads data past the end, or before the beginning, of the intended buffer."
1250,Improper Preservation of Consistency Between Independent Representations of Shared State,Base,Simple,Incomplete,Allowed,The product has or supports multiple distributed components or sub-systems that are each required to keep their own local copy of shared data - such as state or cache - but the product does not ensure that all local copies remain consistent with each other.
1251,Mirrored Regions with Different Values,Base,Simple,Incomplete,Allowed,The product's architecture mirrors regions without ensuring that their contents always stay in sync.
1252,CPU Hardware Not Configured to Support Exclusivity of Write and Execute Operations,Base,Simple,Incomplete,Allowed,The CPU is not configured to provide hardware support for exclusivity of write and execute operations on memory. This allows an attacker to execute data from all of memory.
1253,Incorrect Selection of Fuse Values,Base,Simple,Draft,Allowed,The logic level used to set a system to a secure state relies on a fuse being unblown.
1254,Incorrect Comparison Logic Granularity,Base,Simple,Draft,Allowed,"The product's comparison logic is performed over a series of steps rather than across the entire string in one operation. If there is a comparison logic failure on one of these steps, the operation may be vulnerable to a timing attack that can result in the interception of the process for nefarious purposes."
1255,Comparison Logic is Vulnerable to Power Side-Channel Attacks,Variant,Simple,Draft,Allowed,A device's real time power consumption may be monitored during security token evaluation and the information gleaned may be used to determine the value of the reference token.
1256,Improper Restriction of Software Interfaces to Hardware Features,Base,Simple,Stable,Allowed,"The product provides software-controllable
			device functionality for capabilities such as power and
			clock management, but it does not properly limit
			functionality that can lead to modification of
			hardware memory or register bits, or the ability to
			observe physical side channels."
1257,Improper Access Control Applied to Mirrored or Aliased Memory Regions,Base,Simple,Incomplete,Allowed,Aliased or mirrored memory regions in hardware designs may have inconsistent read/write permissions enforced by the hardware. A possible result is that an untrusted agent is blocked from accessing a memory region but is not blocked from accessing the corresponding aliased memory region.
1258,Exposure of Sensitive System Information Due to Uncleared Debug Information,Base,Simple,Draft,Allowed,"The hardware does not fully clear security-sensitive values, such as keys and intermediate values in cryptographic operations, when debug mode is entered."
1259,Improper Restriction of Security Token Assignment,Base,Simple,Incomplete,Allowed,"The System-On-A-Chip (SoC) implements a Security Token mechanism to differentiate what actions are allowed or disallowed when a transaction originates from an entity. However, the Security Tokens are improperly protected."
126,Buffer Over-read,Variant,Simple,Draft,Allowed,The product reads from a buffer using buffer access mechanisms such as indexes or pointers that reference memory locations after the targeted buffer.
1260,Improper Handling of Overlap Between Protected Memory Ranges,Base,Simple,Stable,Allowed,"The product allows address regions to overlap, which can result in the bypassing of intended memory protection."
1261,Improper Handling of Single Event Upsets,Base,Simple,Draft,Allowed,The hardware logic does not effectively handle when single-event upsets (SEUs) occur.
1262,Improper Access Control for Register Interface,Base,Simple,Stable,Allowed,"The product uses memory-mapped I/O registers that act as an interface to hardware functionality from software, but there is improper access control to those registers."
1264,Hardware Logic with Insecure De-Synchronization between Control and Data Channels,Base,Simple,Incomplete,Allowed,The hardware logic for error handling and security checks can incorrectly forward data before the security check is complete.
1265,Unintended Reentrant Invocation of Non-reentrant Code Via Nested Calls,Base,Simple,Draft,Allowed,"The product invokes code that is believed to be reentrant, but the code performs a call that unintentionally produces a nested invocation of the non-reentrant code."
1266,Improper Scrubbing of Sensitive Data from Decommissioned Device,Base,Simple,Incomplete,Allowed,"The product does not properly provide a capability for the product administrator to remove sensitive data at the time the product is decommissioned.  A scrubbing capability could be missing, insufficient, or incorrect."
1267,Policy Uses Obsolete Encoding,Base,Simple,Draft,Allowed,The product uses an obsolete encoding mechanism to implement access controls.
1268,Policy Privileges are not Assigned Consistently Between Control and Data Agents,Base,Simple,Draft,Allowed,The product's hardware-enforced access control for a particular resource improperly accounts for privilege discrepancies between control and write policies.
1269,Product Released in Non-Release Configuration,Base,Simple,Incomplete,Allowed,The product released to market is released in pre-production or manufacturing configuration.
127,Buffer Under-read,Variant,Simple,Draft,Allowed,The product reads from a buffer using buffer access mechanisms such as indexes or pointers that reference memory locations prior to the targeted buffer.
1270,Generation of Incorrect Security Tokens,Base,Simple,Incomplete,Allowed,"The product implements a Security Token mechanism to differentiate what actions are allowed or disallowed when a transaction originates from an entity. However, the Security Tokens generated in the system are incorrect."
1271,Uninitialized Value on Reset for Registers Holding Security Settings,Base,Simple,Incomplete,Allowed,Security-critical logic is not set to a known value on reset.
1272,Sensitive Information Uncleared Before Debug/Power State Transition,Base,Simple,Stable,Allowed,"The product performs a power or debug state transition, but it does not clear sensitive information that should no longer be accessible due to changes to information access restrictions."
1273,Device Unlock Credential Sharing,Base,Simple,Incomplete,Allowed,The credentials necessary for unlocking a device are shared across multiple parties and may expose sensitive information.
1274,Improper Access Control for Volatile Memory Containing Boot Code,Base,Simple,Stable,Allowed,"The product conducts a secure-boot process that transfers bootloader code from Non-Volatile Memory (NVM) into Volatile Memory (VM), but it does not have sufficient access control or other protections for the Volatile Memory."
1275,Sensitive Cookie with Improper SameSite Attribute,Variant,Simple,Incomplete,Allowed,"The SameSite attribute for sensitive cookies is not set, or an insecure value is used."
1276,Hardware Child Block Incorrectly Connected to Parent System,Base,Simple,Incomplete,Allowed,Signals between a hardware IP and the parent system design are incorrectly connected causing security risks.
1277,Firmware Not Updateable,Base,Simple,Draft,Allowed,"The product does not provide its
			users with the ability to update or patch its
			firmware to address any vulnerabilities or
			weaknesses that may be present."
1278,Missing Protection Against Hardware Reverse Engineering Using Integrated Circuit (IC) Imaging Techniques,Base,Simple,Incomplete,Allowed,Information stored in hardware may be recovered by an attacker with the capability to capture and analyze images of the integrated circuit using techniques such as scanning electron microscopy.
1279,Cryptographic Operations are run Before Supporting Units are Ready,Base,Simple,Incomplete,Allowed,Performing cryptographic operations without ensuring that the supporting inputs are ready to supply valid data may compromise the cryptographic result.
128,Wrap-around Error,Base,Simple,Incomplete,Allowed,"Wrap around errors occur whenever a value is incremented past the maximum value for its type and therefore ""wraps around"" to a very small, negative, or undefined value."
1280,Access Control Check Implemented After Asset is Accessed,Base,Simple,Incomplete,Allowed,A product's hardware-based access control check occurs after the asset has been accessed.
1281,Sequence of Processor Instructions Leads to Unexpected Behavior,Base,Simple,Incomplete,Allowed,Specific combinations of processor instructions lead to undesirable behavior such as locking the processor until a hard reset performed.
1282,Assumed-Immutable Data is Stored in Writable Memory,Base,Simple,Incomplete,Allowed,"Immutable data, such as a first-stage bootloader, device identifiers, and ""write-once"" configuration settings are stored in writable memory that can be re-programmed or updated in the field."
1283,Mutable Attestation or Measurement Reporting Data,Base,Simple,Incomplete,Allowed,The register contents used for attestation or measurement reporting data to verify boot flow are modifiable by an adversary.
1284,Improper Validation of Specified Quantity in Input,Base,Simple,Incomplete,Allowed,"The product receives input that is expected to specify a quantity (such as size or length), but it does not validate or incorrectly validates that the quantity has the required properties."
1285,"Improper Validation of Specified Index, Position, or Offset in Input",Base,Simple,Incomplete,Allowed,"The product receives input that is expected to specify an index, position, or offset into an indexable resource such as a buffer or file, but it does not validate or incorrectly validates that the specified index/position/offset has the required properties."
1286,Improper Validation of Syntactic Correctness of Input,Base,Simple,Incomplete,Allowed,"The product receives input that is expected to be well-formed - i.e., to comply with a certain syntax - but it does not validate or incorrectly validates that the input complies with the syntax."
1287,Improper Validation of Specified Type of Input,Base,Simple,Incomplete,Allowed,"The product receives input that is expected to be of a certain type, but it does not validate or incorrectly validates that the input is actually of the expected type."
1288,Improper Validation of Consistency within Input,Base,Simple,Incomplete,Allowed,"The product receives a complex input with multiple elements or fields that must be consistent with each other, but it does not validate or incorrectly validates that the input is actually consistent."
1289,Improper Validation of Unsafe Equivalence in Input,Base,Simple,Incomplete,Allowed,"The product receives an input value that is used as a resource identifier or other type of reference, but it does not validate or incorrectly validates that the input is equivalent to a potentially-unsafe value."
129,Improper Validation of Array Index,Variant,Simple,Draft,Allowed,"The product uses untrusted input when calculating or using an array index, but the product does not validate or incorrectly validates the index to ensure the index references a valid position within the array."
1290,Incorrect Decoding of Security Identifiers,Base,Simple,Incomplete,Allowed,"The product implements a decoding mechanism to decode certain bus-transaction signals to security identifiers. If the decoding is implemented incorrectly, then untrusted agents can now gain unauthorized access to the asset."
1291,Public Key Re-Use for Signing both Debug and Production Code,Base,Simple,Draft,Allowed,The same public key is used for signing both debug and production code.
1292,Incorrect Conversion of Security Identifiers,Base,Simple,Draft,Allowed,"The product implements a conversion mechanism to map certain bus-transaction signals to security identifiers. However, if the conversion is incorrectly implemented, untrusted agents can gain unauthorized access to the asset."
1293,Missing Source Correlation of Multiple Independent Data,Base,Simple,Draft,Allowed,"The product relies on one source of data, preventing the ability to detect if an adversary has compromised a data source."
1295,Debug Messages Revealing Unnecessary Information,Base,Simple,Incomplete,Allowed,The product fails to adequately prevent the revealing of unnecessary and potentially sensitive system information within debugging messages.
1296,Incorrect Chaining or Granularity of Debug Components,Base,Simple,Incomplete,Allowed,The product's debug components contain incorrect chaining or granularity of debug components.
1297,Unprotected Confidential Information on Device is Accessible by OSAT Vendors,Base,Simple,Incomplete,Allowed,The product does not adequately protect confidential information on the device from being accessed by Outsourced Semiconductor Assembly and Test (OSAT) vendors.
1298,Hardware Logic Contains Race Conditions,Base,Simple,Draft,Allowed,A race condition in the hardware logic results in undermining security guarantees of the system.
1299,Missing Protection Mechanism for Alternate Hardware Interface,Base,Simple,Draft,Allowed,"The lack of protections on alternate paths to access
                control-protected assets (such as unprotected shadow registers
                and other external facing unguarded interfaces) allows an
                attacker to bypass existing protections to the asset that are
		only performed against the primary path."
13,ASP.NET Misconfiguration: Password in Configuration File,Variant,Simple,Draft,Allowed,Storing a plaintext password in a configuration file allows anyone who can read the file access to the password-protected resource making them an easy target for attackers.
130,Improper Handling of Length Parameter Inconsistency,Base,Simple,Incomplete,Allowed,"The product parses a formatted message or structure, but it does not handle or incorrectly handles a length field that is inconsistent with the actual length of the associated data."
1300,Improper Protection of Physical Side Channels,Base,Simple,Stable,Allowed,"The device does not contain sufficient protection
	mechanisms to prevent physical side channels from exposing
	sensitive information due to patterns in physically observable
	phenomena such as variations in power consumption,
	electromagnetic emissions (EME), or acoustic emissions."
1301,Insufficient or Incomplete Data Removal within Hardware Component,Base,Simple,Incomplete,Allowed,The product's data removal process does not completely delete all data and potentially sensitive information within hardware components.
1302,Missing Source Identifier in Entity Transactions on a System-On-Chip (SOC),Base,Simple,Incomplete,Allowed,The product implements a security identifier mechanism to differentiate what actions are allowed or disallowed when a transaction originates from an entity. A transaction is sent without a security identifier.
1303,Non-Transparent Sharing of Microarchitectural Resources,Base,Simple,Draft,Allowed,"Hardware structures shared across execution contexts (e.g., caches and branch predictors) can violate the expected architecture isolation between contexts."
1304,Improperly Preserved Integrity of Hardware Configuration State During a Power Save/Restore Operation,Base,Simple,Draft,Allowed,"The product performs a power save/restore
            operation, but it does not ensure that the integrity of
            the configuration state is maintained and/or verified between
	    the beginning and ending of the operation."
131,Incorrect Calculation of Buffer Size,Base,Simple,Draft,Allowed,"The product does not correctly calculate the size to be used when allocating a buffer, which could lead to a buffer overflow."
1310,Missing Ability to Patch ROM Code,Base,Simple,Draft,Allowed,Missing an ability to patch ROM code may leave a System or System-on-Chip (SoC) in a vulnerable state.
1311,Improper Translation of Security Attributes by Fabric Bridge,Base,Simple,Draft,Allowed,The bridge incorrectly translates security attributes from either trusted to untrusted or from untrusted to trusted when converting from one fabric protocol to another.
1312,Missing Protection for Mirrored Regions in On-Chip Fabric Firewall,Base,Simple,Draft,Allowed,"The firewall in an on-chip fabric protects the main addressed region, but it does not protect any mirrored memory or memory-mapped-IO (MMIO) regions."
1313,Hardware Allows Activation of Test or Debug Logic at Runtime,Base,Simple,Draft,Allowed,"During runtime, the hardware allows for test or debug logic (feature) to be activated, which allows for changing the state of the hardware. This feature can alter the intended behavior of the system and allow for alteration and leakage of sensitive data by an adversary."
1314,Missing Write Protection for Parametric Data Values,Base,Simple,Draft,Allowed,"The device does not write-protect the parametric data values for sensors that scale the sensor value, allowing untrusted software to manipulate the apparent result and potentially damage hardware or cause operational failure."
1315,Improper Setting of Bus Controlling Capability in Fabric End-point,Base,Simple,Incomplete,Allowed,The bus controller enables bits in the fabric end-point to allow responder devices to control transactions on the fabric.
1316,Fabric-Address Map Allows Programming of Unwarranted Overlaps of Protected and Unprotected Ranges,Base,Simple,Draft,Allowed,"The address map of the on-chip fabric has protected and unprotected regions overlapping, allowing an attacker to bypass access control to the overlapping portion of the protected region."
1317,Improper Access Control in Fabric Bridge,Base,Simple,Draft,Allowed,"The product uses a fabric bridge for transactions between two Intellectual Property (IP) blocks, but the bridge does not properly perform the expected privilege, identity, or other access control checks between those IP blocks."
1318,Missing Support for Security Features in On-chip Fabrics or Buses,Base,Simple,Incomplete,Allowed,"On-chip fabrics or buses either do not support or are not configured to support privilege separation or other security features, such as access control."
